,ml-dft,datasets
2023-06-12,36.0,42.0
2023-08-31,76.0,117.6
2023-11-30,75.0,111.6
2024-01-04,110.0,229.89473684210526
2024-03-17,123.0,232.5
2024-06-06,123.0,236.25
2024-08-08,119.0,260.0
2024-09-05,173.25,393.05
2024-11-14,178.5,399.8
2025-02-27,182.7,420.79999999999995
2025-04-05,221.0,510.7142857142857
2025-04-09,263.57142857142856,545.2637362637363
