,Representation Learning,Electronic Structure,Descriptors,Datasets,Interatomic Potentials,Language Models,Universal Potentials,Generative Models
2023-06-12,108.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
2023-06-13,107.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0
2023-12-07,3522.0,74.0,2225.0,2385.55,25272.0,1694.55,0.0,4234.8
2024-05-30,16347.0,6012.0,4486.0,6195.9,48971.0,2121.9,0.0,5216.4
2024-09-19,46634.181818181816,16216.5,6307.0,50231.55757575757,124797.40909090909,17975.466666666667,90762.0,14385.6
2025-04-02,122623.41176470587,16848.0,9205.0,230015.9475976901,335117.1198156682,22492.96363636364,302304.9285714286,25900.363636363636
2025-04-10,179016.09523809524,24394.5,17705.0,230038.1323593707,394444.52347083925,34009.197860962566,316375.5789473684,35270.470588235294
