,Generative Models,Representation Learning,Datasets,Universal Potentials,Language Models,Interatomic Potentials,Electronic Structure,Descriptors
2023-06-12,2015.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,2068.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-03,3698.75,2711.0,2303.75,0.0,1769.75,21161.0,81.0,603.0
2024-03-28,4563.6,12135.0,5361.85,0.0,1896.85,24274.0,5534.0,2529.0
2024-08-11,8040.666666666667,21396.0,5251.666666666666,31474.0,11375.666666666668,67585.0,6801.0,4413.0
2024-11-19,40548.0,65547.08333333333,80268.30391649414,136368.14285714287,34490.11111111111,181343.4844720497,20113.5,11285.0
2025-04-07,35252.470588235294,170025.45,228308.02585139318,315769.2631578947,33904.13725490196,393313.05263157893,26573.333333333336,17693.0
2025-04-09,35264.117647058825,178890.38095238095,225579.23004343436,316168.4210526316,33908.28431372549,393936.84210526315,24394.5,17698.0
